Starting job mp2mpF-X1.0D1.0-S24680-O0_1781768836 at 1781768845.387535

   - * - * - * - * - * - * - * -     
        Version information          
  Full SHA: 026401b
  Git  SHA: f47f986
  Git branch: HEAD
   - * - * - * - * - * - * - * -     
 Welcome to Mary's McMule userfile <3
 Big Q2 range [1.e-3;4.e-2] GeV²
  * 0.3 < th_mu < 2.mrad
 No bands but cuts on x5 and y5
  * Emu > 70 GeV
  * -12. < th_ph < 12. mrad
  * Eph > 200 MeV
  * d_detector=30m
                                                            
         *******************************************        
         *              C O L L I E R              *        
         *                                         *        
         *        Complex One-Loop Library         *        
         *      In Extended Regularizations        *        
         *                                         *        
         *    by A.Denner, S.Dittmaier, L.Hofer    *        
         *                                         *        
         *              version 1.2.7              *        
         *                                         *        
         *******************************************        
                                                            
   - * - * - * - * - * - * - * -     
         
 internal avgi, sd:    4.5719250556857890E-004   1.1351035323849784E-005
 internal avgi, sd:    4.7493406255582498E-004   1.2792312382397184E-006
 internal avgi, sd:    4.7629241395018225E-004   4.5987554517253029E-008
 internal avgi, sd:    4.7618348766736589E-004   1.8843353081372018E-009
 internal avgi, sd:    4.7618352164138409E-004   1.8840103733980251E-009
 internal avgi, sd:    4.7618333019173146E-004   1.8748241345526631E-009
 internal avgi, sd:    4.7618119061057127E-004   9.1510796122025732E-010
 internal avgi, sd:    4.7618218929802568E-004   1.7281026779295630E-010
 internal avgi, sd:    4.7618199563779053E-004   7.2787987090005105E-011
 internal avgi, sd:    4.7618208103784290E-004   4.9457715629537698E-011
 internal avgi, sd:    4.7618208390030572E-004   3.7955185591919244E-011
 internal avgi, sd:    4.7618210204982406E-004   3.1187947778317110E-011
 internal avgi, sd:    4.7618210205245927E-004   3.1187947352665205E-011
 internal avgi, sd:    4.7618210205085162E-004   3.1187939229540769E-011
 internal avgi, sd:    4.7618210195877938E-004   3.1187629458427404E-011
 internal avgi, sd:    4.7618208158231595E-004   2.9728803859903369E-010
 internal avgi, sd:    4.7618210904147470E-004   6.0185685003018794E-011
 internal avgi, sd:    4.7618207984647694E-004   2.5964889676259996E-011
 internal avgi, sd:    4.7618207921083138E-004   2.5956698019343991E-011
 internal avgi, sd:    4.7617262770447474E-004   2.3985065785194867E-011
 internal avgi, sd:    4.7617262770385327E-004   2.3985065772457846E-011
 internal avgi, sd:    4.7617262770169522E-004   2.3985065701106064E-011
 internal avgi, sd:    4.7617262773831166E-004   2.3985048560914663E-011
 internal avgi, sd:    4.7617263333487241E-004   2.3976784023353301E-011
 internal avgi, sd:    4.7617273597985049E-004   2.3850629464381637E-011
 internal avgi, sd:    4.7617344095106167E-004   2.2932790645624685E-011
 internal avgi, sd:    4.7617587987615134E-004   1.9452621496704192E-011
